timestamp_s,arm_pos_rad,arm_actual_vel_rad_s,pendulum_pos_rad,pendulum_vel_rad_s,action_cmd,acceleration_cmd_rad_s2
1e-05,0.0,0.0,0.9985,-0.0005,-0.0733,-10.9955
0.02514,0.0,0.0,-0.9989,0.0107,-0.1235,-18.5214
0.05009,0.0,0.0,-0.9982,0.0031,-0.1405,-21.0698
0.07509,0.0,0.0,-0.9984,-0.001,-0.1441,-21.608
0.10009,-0.002,-0.0785,-0.9991,-0.0031,-0.1394,-20.9056
0.12508,-0.0118,-0.3929,-0.999,0.0005,-0.1296,-19.4452
0.15008,-0.0314,-0.7854,-0.9944,0.0194,-0.136,-20.399
0.17509,-0.0746,-1.7271,-0.9866,0.0327,-0.1288,-19.313
0.20008,-0.1355,-2.4357,-0.9761,0.044,-0.1229,-18.4386
0.22507,-0.1846,-1.964,-0.9666,0.0399,-0.1457,-21.8532
0.25009,-0.2435,-2.3546,-0.9594,0.0302,-0.1301,-19.5149
0.2751,-0.3456,-4.0829,-0.9573,0.0087,0.0009,0.1358
0.30013,-0.4614,-4.6279,-0.9629,-0.0235,0.1532,22.9846
0.32509,-0.5301,-2.753,-0.9717,-0.0368,0.2115,31.7202
0.35013,-0.6126,-3.2934,-0.9814,-0.0409,0.2959,44.3795
0.3751,-0.646,-1.337,-0.9923,-0.0455,0.2703,40.5459
0.40016,-0.6656,-0.7833,0.9915,-0.068,0.2911,43.665
0.42514,-0.6617,0.1572,0.9695,-0.092,0.3157,47.3596
0.45012,-0.6165,1.8081,0.9407,-0.1207,0.3326,49.8952
0.47508,-0.5616,2.2024,0.9089,-0.1329,0.3395,50.9288
0.50032,-0.4418,4.7452,0.876,-0.1381,0.3148,47.216
0.52514,-0.3377,4.1938,0.8484,-0.1156,0.3198,47.9684
0.55007,-0.1453,7.7178,0.8304,-0.0752,0.2956,44.3427
0.57508,0.0059,6.0446,0.8284,-0.0087,0.2514,37.7119
0.60011,0.1708,6.5893,0.8486,0.0849,0.1707,25.605
0.62517,0.4477,11.0478,0.8961,0.1989,0.133,19.9491
0.65008,0.7422,11.8246,0.8926,-0.0148,-0.0058,-0.8728
0.67508,0.9386,7.8546,0.8774,-0.0634,-0.0685,-10.2699
0.70014,1.2331,11.7507,0.8853,0.0327,-0.0795,-11.9194
0.72509,1.4294,7.8716,0.8878,0.0107,-0.1818,-27.2737
0.75036,1.7024,10.7983,0.8966,0.0368,-0.1833,-27.5004
0.77508,1.8692,6.7514,0.9153,0.0782,-0.3736,-56.0439
0.80008,2.0813,8.4827,0.9465,0.1309,-0.4315,-64.7283
0.82513,2.1814,3.998,0.9941,0.1994,-0.6878,-103.1639
0.8503,2.1716,-0.39,-0.9215,0.3533,-0.8555,-128.3202
0.87508,2.0754,-3.8831,-0.8147,0.4474,-0.994,-149.0926
0.90012,1.8555,-8.7816,-0.7075,0.4489,-1.0,-150.0
0.92508,1.6592,-7.8651,-0.6165,0.3814,-1.0,-150.0
0.95008,1.4628,-7.8556,-0.5537,0.2628,-1.0,-150.0
0.97509,1.1683,-11.7753,-0.5172,0.1529,-1.0,-150.0
1.00007,0.8738,-11.7892,-0.5098,0.0312,-1.0,-150.0
1.02508,0.6774,-7.8523,-0.5326,-0.0956,-1.0,-150.0
1.05011,0.4811,-7.8451,-0.5833,-0.2122,-1.0,-150.0
1.0751,0.1865,-11.7861,-0.6588,-0.3165,-1.0,-150.0
1.10008,-0.108,-11.7888,-0.7542,-0.3993,-0.9663,-144.9455
1.12508,-0.3043,-7.8552,-0.8647,-0.4633,-0.5807,-87.1051
1.15008,-0.5007,-7.8514,-0.9825,-0.4934,0.0563,8.4478
1.17522,-0.7952,-11.7182,0.8986,-0.498,0.6094,91.4054
1.20023,-1.0897,-11.7772,0.7869,-0.4679,0.7329,109.9276
1.22517,-1.237,-5.903,0.6869,-0.4188,0.6679,100.1863
1.25013,-1.3528,-4.641,0.5984,1.0,0.2889,43.332
1.27508,-1.398,-1.8102,0.5328,-0.2746,0.789,118.3515
1.30017,-1.4196,-0.861,0.4949,-0.159,0.7794,116.9118
1.32513,-1.3607,2.3593,0.488,-0.0286,0.9307,139.6077
1.35007,-1.1899,6.8504,0.5143,0.1099,1.0,150.0
1.37508,-1.0073,7.302,0.5684,0.2265,1.0,150.0
1.40031,-0.7127,11.6723,0.657,-1.0,1.0,150.0
1.42517,-0.5164,7.8981,0.7675,0.4628,0.7405,111.0696
1.45007,-0.2219,11.8272,0.8533,0.3595,0.5579,83.6882
1.47513,-0.0255,7.835,0.9247,0.2991,0.2098,31.4637
1.50008,0.269,11.8049,-0.9963,0.3308,0.0976,14.6335
1.5251,0.4653,7.8504,-0.905,0.3825,-0.1722,-25.8297
1.55027,0.7599,11.6991,-0.8087,0.4034,-0.084,-12.598
1.57508,0.9562,7.9146,-0.7196,0.3733,-0.3596,-53.9328
1.60011,1.2174,10.432,-0.6432,0.3201,-0.1039,-15.5789
1.62509,1.3646,5.8955,-0.5933,0.2091,-0.4385,-65.7782
1.65011,1.5021,5.4927,-0.5679,0.1064,-0.4755,-71.3233
1.67515,1.6552,6.1176,-0.5692,-0.0056,-0.4186,-62.7834
1.70009,1.7475,3.7001,-0.5948,-0.1074,-0.5981,-89.7178
1.72509,1.7691,0.864,-0.6455,-0.2122,-0.8365,-125.4737
1.75037,1.7239,-1.7863,-0.715,-0.2909,-1.0,-150.0
1.77509,1.6238,-4.051,-0.7953,-0.3365,-1.0,-150.0
1.80013,1.3646,-10.3495,-0.8761,-0.3385,-1.0,-150.0
1.82508,1.1683,-7.8702,-0.9469,-0.2966,-0.913,-136.9481
1.85008,0.9719,-7.8546,0.9949,-0.2439,-0.5882,-88.2349
1.8751,0.6774,-11.7713,0.9451,-0.2086,-0.1625,-24.3742
1.90011,0.3829,-11.7749,0.8995,-0.1907,0.2108,31.6218
1.92508,0.1865,-7.8631,0.854,-0.1907,0.3766,56.4844
1.95013,-0.0982,-11.3658,0.8127,-0.1728,0.4087,61.3071
1.97509,-0.2435,-5.8225,0.7771,-0.1493,0.4883,73.2465
2.0002,-0.4143,-6.8033,0.7491,-0.1171,0.4734,71.0173
2.02514,-0.4909,-3.0694,0.7314,-0.0741,0.5208,78.1148
2.05007,-0.5517,-2.4416,0.7251,-0.0266,0.5353,80.2929
2.07508,-0.5517,0.0,0.7313,0.0261,0.5515,82.7257
2.1001,-0.5203,1.2558,0.7444,0.0547,0.5353,80.2929
2.12517,-0.4104,4.3856,0.7609,0.069,0.4967,74.5
2.15007,-0.2297,7.2539,0.7853,0.1023,0.4497,67.449
2.17507,-0.0726,6.2822,0.8125,0.114,0.3462,51.9366
2.20013,0.1041,7.054,0.8392,0.112,0.2393,35.8999
2.22517,0.3986,11.7586,0.8674,0.1181,0.1954,29.3129
2.25028,0.5949,7.8202,0.9014,0.1421,-0.0177,-2.6604
2.27508,0.8895,11.8764,0.9387,0.1565,-0.0887,-13.2997
2.30016,1.184,11.7448,0.9794,0.1703,-0.2089,-31.3388
2.3251,1.3725,7.5564,-0.9784,0.1769,-0.5001,-75.0162
2.35008,1.6081,9.4337,-0.928,0.2112,-0.6364,-95.4605
2.37509,1.7259,4.711,-0.8684,0.2495,-0.8585,-128.7822
2.40007,1.8202,3.7719,-0.8024,0.2766,-0.9611,-144.1618
2.42514,1.8143,-0.235,-0.735,0.2823,-1.0,-150.0
2.45037,1.6965,-4.6681,-0.6731,0.2592,-1.0,-150.0
2.47513,1.5433,-6.1849,-0.6288,0.1856,-1.0,-150.0
2.50008,1.2488,-11.8083,-0.6067,0.0926,-1.0,-150.0
2.52508,1.0524,-7.8525,-0.609,-0.0097,-1.0,-150.0
2.55024,0.7579,-11.7047,-0.6322,-0.0972,-1.0,-150.0
2.57509,0.5616,-7.9036,-0.6759,-0.1831,-1.0,-150.0
2.60007,0.267,-11.7878,-0.7349,-0.247,-1.0,-150.0
2.62513,0.0707,-7.8365,-0.8063,-0.2991,-0.8874,-133.1168
2.65008,-0.1257,-7.8694,-0.8848,-0.3288,-0.6014,-90.213
2.67509,-0.4202,-11.7746,-0.969,-0.3528,-0.0165,-2.4796
2.70008,-0.7147,-11.7889,0.9456,-0.3579,0.5248,78.7274
2.72509,-0.9111,-7.8501,0.8605,-0.3564,0.6976,104.6464
2.75011,-1.1015,-7.6108,0.7793,-0.34,0.7002,105.0232
2.77508,-1.2527,-6.0553,0.7018,-0.3247,0.6812,102.1767
2.80026,-1.3097,-2.2612,0.6332,-0.2874,0.7381,110.7107
2.82522,-1.2939,0.6294,0.5848,1.0,0.6101,91.5088
2.85014,-1.2409,2.1277,0.5615,-0.0977,0.8478,127.1703
2.87509,-1.0799,6.4537,0.5662,0.0194,0.9087,136.31
2.90036,-0.809,10.7214,0.6011,0.1462,0.9832,147.4853
2.92508,-0.6126,7.9414,0.6643,-1.0,1.0,150.0
2.95022,-0.4163,7.8101,0.7161,0.2168,0.7413,111.194
2.97508,-0.1217,11.8518,0.7684,0.2194,0.6453,96.7957
3.00012,0.0746,7.8394,0.8319,0.2659,0.3998,59.9643
3.02514,0.3691,11.7725,0.9069,0.314,0.2469,37.0354
3.05007,0.6637,11.8117,0.9966,0.3758,0.1141,17.1169
3.07508,0.86,7.8514,-0.8986,0.4392,-0.1489,-22.3389
3.10015,1.1545,11.7508,-0.7928,0.4428,-0.1028,-15.4161
3.12508,1.3509,7.874,-0.7249,0.2848,-0.6181,-92.7094
3.15027,1.5983,9.8214,-0.6672,0.2413,-0.4433,-66.4893
3.17508,1.72,4.9066,-0.621,0.1938,-0.7902,-118.529
3.20011,1.8182,3.9231,-0.5929,0.1176,-0.813,-121.9442
3.22523,1.8241,0.2345,-0.5872,0.024,-0.9417,-141.2611
3.25022,1.7789,-1.807,-0.6047,-0.0736,-1.0,-150.0
3.27527,1.6042,-6.9779,-0.6423,-0.1575,-1.0,-150.0
3.30013,1.3195,-11.4489,-0.6971,-0.2296,-1.0,-150.0
3.32508,1.1231,-7.871,-0.7704,-0.3068,-1.0,-150.0
3.35038,0.8286,-11.6405,-0.8503,-0.3349,-1.0,-150.0
3.37572,0.6322,-7.7494,-0.9296,-0.3319,-0.7743,-116.1497
3.40013,0.3377,-12.0627,0.9972,-0.3068,-0.3092,-46.3791
3.42508,0.1414,-7.8719,0.9227,-0.3119,0.2768,41.5236
3.45016,-0.1532,-11.7404,0.8492,-0.3078,0.4633,69.4899
3.47511,-0.3338,-7.2409,0.7803,-0.2889,0.5513,82.6877
3.50026,-0.5223,-7.4962,0.72,-0.2526,0.5221,78.3163
3.52513,-0.6067,-3.3946,0.6729,-0.1974,0.5752,86.2844
3.55009,-0.6696,-2.5176,0.6447,-0.1181,0.6122,91.8369
3.57518,-0.6656,0.1565,0.6382,-0.0271,0.6992,104.886
3.60016,-0.6264,1.5719,0.6494,0.047,0.6859,102.8819
3.62514,-0.485,5.6604,0.6619,0.0522,0.7002,105.0228
3.65007,-0.2533,9.2923,0.6898,0.1171,0.7156,107.3348
3.67508,-0.0569,7.8511,0.7247,0.1462,0.6029,90.4361
3.70012,0.2376,11.7633,0.7705,0.1917,0.5513,82.6963
3.7252,0.4339,7.8267,0.8278,0.2398,0.3178,47.6737
3.75007,0.7285,11.8435,0.8927,0.272,0.1903,28.5396
3.77514,0.9248,7.8337,0.9626,0.293,-0.0876,-13.1441
3.8002,1.2193,11.7532,-0.9648,0.3037,-0.1743,-26.1473
3.82508,1.4157,7.8899,-0.8959,0.2889,-0.5744,-86.154
3.85013,1.6729,10.2675,-0.8282,0.2833,-0.661,-99.1469
