timestamp_s,arm_pos_rad,arm_actual_vel_rad_s,pendulum_pos_rad,pendulum_vel_rad_s,action_cmd
1e-05,0.0,0.0,0.6104,0.0,1.0
0.02508,0.0,0.0,0.6104,0.0,1.0
0.05013,0.03,3.7626,0.6104,0.0,1.0
0.07508,0.0698,5.0157,0.6104,0.0,1.0
0.10015,0.1095,4.9744,0.6104,0.0,1.0
0.12518,0.1495,5.0214,0.6104,0.0,1.0
0.15011,0.1894,5.0203,0.6104,0.0,1.0
0.1751,0.2291,4.9884,0.6104,0.0,1.0
0.20021,0.2687,4.9663,0.6104,0.0,1.0
0.22522,0.3088,5.0234,0.6104,0.0,1.0
0.25011,0.3486,5.0303,0.6104,0.0,0.9698
0.27522,0.3881,4.9449,0.6104,0.0,0.8885
0.30009,0.4281,5.053,0.6104,0.0,0.7755
0.32519,0.4677,4.9481,0.6104,0.0,0.6759
0.35047,0.5077,4.9701,0.6104,0.0,0.5685
0.3752,0.548,5.1217,0.6104,0.0,0.4708
0.40021,0.5872,4.9268,0.6104,0.0,0.3859
0.42522,0.627,5.0046,0.6104,0.0,0.2836
0.4501,0.6669,5.0317,0.6104,0.0,0.1828
0.47522,0.6944,3.4388,0.6104,0.0,0.2582
0.50021,0.6944,0.0,0.6104,0.0,0.7108
0.52522,0.6944,0.0,0.6104,0.0,0.9336
0.55009,0.6944,0.0,0.6104,0.0,1.0
0.57513,0.6944,0.0,0.6104,0.0,1.0
0.60021,0.6944,0.0,0.6104,0.0,1.0
0.62522,0.6944,0.0,0.6104,0.0,1.0
0.65012,0.6944,0.0,0.6104,0.0,1.0
0.67523,0.6944,0.0,0.6104,0.0,1.0
0.70022,0.6944,0.0,0.6104,0.0,1.0
0.7252,0.6944,0.0,0.6104,0.0,1.0
0.7501,0.6944,0.0,0.6104,0.0,1.0
0.77519,0.6944,0.0,0.6104,0.0,1.0
0.80022,0.6944,0.0,0.6104,0.0,1.0
0.82519,0.6944,0.0,0.6104,0.0,1.0
0.85013,0.6944,0.0,0.6104,0.0,1.0
0.87522,0.6944,0.0,0.6104,0.0,1.0
0.90017,0.6944,0.0,0.6104,0.0,1.0
0.92522,0.6944,0.0,0.6104,0.0,1.0
0.9501,0.6944,0.0,0.6104,0.0,1.0
0.97512,0.6944,0.0,0.6104,0.0,1.0
1.00038,0.6944,0.0,0.6104,0.0,1.0
1.02515,0.6944,0.0,0.6104,0.0,1.0
1.05025,0.6944,0.0,0.6104,0.0,1.0
1.07512,0.6944,0.0,0.6104,0.0,1.0
1.10024,0.6944,0.0,0.6104,0.0,1.0
1.12522,0.6944,0.0,0.6104,0.0,1.0
1.15013,0.6944,0.0,0.6104,0.0,1.0
1.17519,0.6944,0.0,0.6104,0.0,1.0
1.2003,0.6944,0.0,0.6104,0.0,1.0
1.22522,0.6944,0.0,0.6104,0.0,1.0
1.25012,0.6944,0.0,0.6104,0.0,1.0
1.27522,0.6944,0.0,0.6104,0.0,1.0
1.30017,0.6944,0.0,0.6104,0.0,1.0
1.32522,0.6944,0.0,0.6104,0.0,1.0
1.3501,0.6944,0.0,0.6104,0.0,1.0
1.37522,0.6944,0.0,0.6104,0.0,1.0
1.40029,0.6944,0.0,0.6104,0.0,1.0
1.42522,0.6944,0.0,0.6104,0.0,1.0
1.45009,0.6944,0.0,0.6104,0.0,1.0
1.47522,0.6944,0.0,0.6104,0.0,1.0
1.50026,0.6944,0.0,0.6104,0.0,1.0
1.52517,0.6944,0.0,0.6104,0.0,1.0
1.55011,0.6944,0.0,0.6104,0.0,1.0
1.5751,0.6944,0.0,0.6104,0.0,1.0
1.60016,0.6944,0.0,0.6104,0.0,1.0
1.6253,0.6944,0.0,0.6104,0.0,1.0
1.65013,0.6944,0.0,0.6104,0.0,1.0
1.67512,0.6944,0.0,0.6104,0.0,1.0
1.7002,0.6944,0.0,0.6104,0.0,1.0
1.72517,0.6944,0.0,0.6104,0.0,1.0
