time_s,arm_pos_rad,arm_vel_rad_s,pendulum_angle_rad,pendulum_vel_rad_s,control_action,acceleration_cmd_rad_s2,pendulum_angle_unwrapped,sim_cart_pos,sim_pole_angle,env_cart_pos,env_pole_angle,dyn_ghost_sim_pole_angle,env_action
0.30008,-0.2155,-1.9838,-0.9712,0.0061,-0.0289,-1.4441,6.373663175602973,-0.5455844180235386,6.332374451773035,-0.3764702740759846,6.236477524514086,6.3807124663223105,0.39938583970069885
0.32509,-0.2499,-1.3738,-0.972,-0.0036,-0.054,-2.699,6.3711499014801,-0.6115521626883719,6.302296746465123,-0.37062876781046006,6.168240278380359,6.368884523404302,0.5553100109100342
0.35007,-0.3039,-2.1615,-0.9742,-0.0092,0.0363,1.8154,6.364238397642203,-0.6759051613523044,6.269072792519659,-0.34527565276540484,6.0932411132782525,6.364134311576351,0.6475289463996887
0.37508,-0.3397,-1.4331,-0.979,-0.0199,0.0098,0.4918,6.349158752904971,-0.7402338018405178,6.237218096868194,-0.29998433862888946,6.0170714629111695,6.338220856585393,0.6821494102478027
0.40009,-0.3922,-2.1003,-0.9866,-0.0317,0.1126,5.6312,6.325282648737689,-0.800766220333172,6.206232342787064,-0.23202234990691145,5.936663905778303,6.320051411001991,0.7640804648399353
0.42516,-0.4256,-1.3311,-0.995,-0.0353,0.0789,3.9442,6.298893270447535,-0.8593793818589974,6.1807001004752635,-0.14475209081000992,5.841719576481125,6.283830165362231,0.726731538772583
0.45008,-0.4717,-1.8517,0.9948,-0.043,0.1798,8.9897,6.26684902538092,-0.9118864416022279,6.159213374674836,-0.06467415519372516,5.743134645164473,6.257379083265921,0.5380667448043823
0.47508,-0.4992,-1.0993,0.9838,-0.046,0.1428,7.1389,6.232291506191433,-0.9607594472725606,6.146060065297421,0.04217001968182451,5.615137440987994,6.218938790020711,0.14062346518039703
0.50008,-0.5341,-1.3946,0.9735,-0.043,0.2019,10.0952,6.199933101859458,-1.0034824727340947,6.1402292828883835,0.14931170632119314,5.537588381917975,6.1922462804575105,-0.055468469858169556
0.52515,-0.5537,-0.7831,0.9635,-0.0419,0.1549,7.745,6.16851717532356,-1.0421044771782504,6.144150692732408,0.24792730721881787,5.519785558463207,6.162083332241483,-0.2551228404045105
0.55008,-0.5758,-0.8861,0.9554,-0.0337,0.1641,8.2066,6.1430702748294825,-1.07570762351384,6.1566277871002315,0.3302660775888823,5.571068509240962,6.14530370260851,-0.5503892302513123
0.57508,-0.5866,-0.432,0.9504,-0.021,0.1071,5.3538,6.127362311561534,-1.1066618038160683,6.17860532809815,0.38960384039711005,5.696108935766522,6.132520793762653,-0.7989751696586609
0.60008,-0.5974,-0.432,0.9484,-0.0087,0.0913,4.5633,6.121079126254354,-1.1112286577101707,6.186530421228738,0.40906878090488535,5.902732488703975,6.133953660468394,-0.9700173139572144
0.62518,-0.6023,-0.1956,0.9498,0.0061,0.0518,2.5881,6.125477355969379,-1.1099373027267783,6.198415777414217,0.39481509222861527,6.173673744185665,6.144625448145793,-1.0
0.65008,-0.6067,-0.1774,0.9547,0.0205,0.0275,1.3757,6.14087115997197,-1.109284641535127,6.218999312670584,0.3526232839601303,6.478575463329013,6.168032708400677,-1.0
0.67508,-0.6087,-0.0786,0.9635,0.0368,-0.0087,-0.4372,6.16851717532356,-1.1087623466003274,6.245770004476333,0.28568982190034287,6.798230872403753,6.200215250232773,-0.9538426399230957
0.70007,-0.6121,-0.1375,0.9749,0.0476,-0.024,-1.2015,6.204331331574483,-1.1090403031841942,6.276705183605971,0.2097061263464512,7.1167631237267255,6.241227963687762,-0.5852776169776917
0.72515,-0.6146,-0.0979,0.9894,0.0608,-0.0543,-2.7149,6.249884425051535,-1.1103883081272967,6.309025957144801,0.12773744426175465,7.434814862456862,6.285336399227041,-0.2529788911342621
0.75008,-0.6195,-0.1969,-0.996,0.0614,-0.0592,-2.9585,6.295751677793946,-1.11015128856322,6.337176450268719,0.053371706426979734,7.684470045905746,6.3308589701347815,0.20333866775035858
0.77514,-0.6244,-0.1959,-0.9811,0.0624,-0.0732,-3.6607,6.342561408332434,-1.110160412978933,6.36012958044526,-0.03341773955328299,7.851965945376579,6.371597280308413,-0.09512539952993393
0.80009,-0.6342,-0.3935,-0.968,0.0547,-0.0587,-2.9333,6.3837162720944605,-1.1101718510616951,6.3754830618885405,-0.11349127372838826,7.917868804411338,6.407448364759566,0.06496195495128632
0.82524,-0.6426,-0.3318,-0.9576,0.0435,-0.0631,-3.1573,6.416388835691794,-1.1101642427360447,6.381787679148189,-0.20131924605647827,7.879429150640363,6.430357079267642,-0.00018537149298936129
0.85012,-0.6568,-0.5721,-0.9512,0.0271,-0.032,-1.5994,6.436495028674769,-1.1101667547097636,6.378526578138525,-0.28045910031415694,7.742178633114941,6.44349709148664,0.19611497223377228
