timestamp_s,arm_pos_rad,arm_actual_vel_rad_s,pendulum_pos_rad,pendulum_vel_rad_s,action_cmd,acceleration_cmd_rad_s2
1e-05,0.0,0.0,3.1401,0.0,-0.0202,-3.0244
0.02514,0.0,0.0,3.1412,-0.0015,-0.0282,-4.2285
0.05013,0.0,0.0,3.1408,0.0005,-0.0332,-4.9745
0.07508,0.0,0.0,3.1408,0.0,-0.0349,-5.2418
0.10013,0.0,0.0,3.1404,0.0005,-0.036,-5.3973
0.12513,-0.002,-0.0785,3.1401,0.0005,-0.0324,-4.8669
0.15007,-0.0059,-0.1574,3.1374,0.0036,-0.0275,-4.1286
0.17508,-0.0177,-0.4711,3.1286,0.0118,-0.0081,-1.2156
0.20014,-0.0255,-0.3134,3.1213,0.0097,0.0038,0.5729
0.22517,-0.0393,-0.5492,3.1159,0.0072,0.0334,5.0115
0.2502,-0.0452,-0.2353,3.1136,0.0031,0.0387,5.8047
0.27511,-0.053,-0.3153,3.1163,-0.0036,0.0529,7.9408
0.30019,-0.055,-0.0783,3.1243,-0.0107,0.0498,7.4766
0.32516,-0.053,0.0786,3.1339,-0.0128,0.0395,5.931
0.35021,-0.0471,0.2351,-3.1282,-0.0281,0.0286,4.2868
0.37512,-0.0353,0.4729,-3.1086,-0.0261,0.0005,0.0752
0.40009,-0.0255,0.3932,-3.0891,-0.0261,-0.0195,-2.928
0.4252,-0.0118,0.5474,-3.0772,-0.0159,-0.0528,-7.9128
0.45026,-0.0039,0.3135,-3.0695,-0.0102,-0.0722,-10.8308
0.47523,0.0,0.1573,-3.0764,0.0092,-0.0918,-13.7706
0.50051,-0.002,-0.0777,-3.0944,0.024,-0.0954,-14.3048
0.52521,-0.0177,-0.6361,-3.124,0.0394,-0.0655,-9.8257
0.55026,-0.0334,-0.6269,3.1147,0.0593,-0.0324,-4.8669
0.57511,-0.0628,-1.1852,3.0718,0.0573,0.057,8.5512
0.60023,-0.0844,-0.8599,3.0323,0.0527,0.1172,17.5781
0.62521,-0.108,-0.9431,3.0093,0.0307,0.1842,27.6226
0.65138,-0.1119,-0.1501,3.0108,-0.002,0.1749,26.2404
