timestamp_s,arm_pos_rad,arm_actual_vel_rad_s,pendulum_pos_rad,pendulum_vel_rad_s,action_cmd,acceleration_cmd_rad_s2
1e-05,0.0,0.0,0.9995,0.0031,-0.0787,-11.7984
0.02508,0.0,0.0,-0.9989,0.0066,-0.1223,-18.3457
0.05015,0.0,0.0,-0.9979,0.0041,-0.1414,-21.2091
0.07509,0.0,0.0,-0.9979,0.0,-0.1465,-21.9805
0.10011,0.0,0.0,-0.9983,-0.0015,-0.1467,-22.0032
0.12507,-0.0137,-0.5506,-0.9988,-0.002,-0.1055,-15.8298
0.15055,-0.0452,-1.2332,-0.9944,0.0184,-0.0703,-10.5522
0.17508,-0.0707,-1.0404,-0.9873,0.0297,-0.0963,-14.4456
0.20014,-0.1041,-1.3325,-0.9801,0.0302,-0.0915,-13.7319
0.22508,-0.161,-2.2824,-0.9736,0.0271,-0.0012,-0.1871
0.25018,-0.2022,-1.6432,-0.9694,0.0179,-0.0201,-3.008
0.2751,-0.2651,-2.5211,-0.9672,0.0092,0.0826,12.3894
0.30048,-0.3259,-2.3983,-0.9675,-0.0015,0.1424,21.3547
0.32507,-0.3593,-1.3573,-0.9716,-0.0169,0.1169,17.5323
0.35024,-0.3848,-1.0141,-0.9808,-0.0389,0.1361,20.4147
0.37507,-0.4104,-1.028,-0.9955,-0.0614,0.2091,31.363
0.40049,-0.4143,-0.1545,0.9854,-0.0803,0.211,31.6437
0.42507,-0.4006,0.5592,0.9631,-0.0931,0.221,33.1475
0.45033,-0.3731,1.0883,0.938,-0.1053,0.241,36.1436
0.47508,-0.3083,2.6177,0.9138,-0.1012,0.2229,33.4357
0.5008,-0.2101,3.8175,0.895,-0.0787,0.1766,26.4957
0.52508,-0.1296,3.3163,0.8872,-0.0327,0.1371,20.5644
0.55035,0.0079,5.4387,0.892,0.0199,0.0913,13.6912
0.57507,0.106,3.9705,0.9099,0.0752,-0.0193,-2.8993
0.60008,0.2042,3.9263,0.9352,0.1058,-0.1276,-19.1445
0.62531,0.3495,5.7589,0.9507,0.0649,-0.1619,-24.2869
0.65037,0.4771,5.0929,0.9482,-0.0102,-0.2044,-30.6637
0.67507,0.5498,2.9409,0.959,0.045,-0.2625,-39.3775
0.70051,0.6303,3.164,0.9818,0.0956,-0.336,-50.4018
0.7251,0.6617,1.2778,-0.9828,0.1483,-0.4673,-70.0937
0.75019,0.6696,0.3131,-0.9376,0.1892,-0.5487,-82.2987
0.77508,0.6283,-1.6563,-0.8904,0.1979,-0.6382,-95.7324
0.80041,0.5125,-4.5738,-0.8477,0.179,-0.7684,-115.2604
0.82509,0.4143,-3.9778,-0.8169,0.1289,-0.8928,-133.9182
0.85031,0.3161,-3.8926,-0.7971,0.0828,-0.9606,-144.092
