timestamp_s,arm_pos_rad,arm_actual_vel_rad_s,pendulum_pos_rad,pendulum_vel_rad_s,action_cmd,acceleration_cmd_rad_s2
5.261e-06,0.0,0.0,3.1350732352,0.0005113269,-0.0186927002,-2.8039050102
0.025135578,0.0,0.0,3.1362237208,0.0015339808,-0.028070841,-4.2106261253
0.050085318,-0.0019634954,-0.0078539816,3.1350732352,-0.0015339808,-0.0269150957,-4.0372643471
0.075073965,-0.0078539816,-0.0235619449,3.1358402256,0.0010226539,-0.0227216594,-3.4082489014
0.10013902,-0.0137444679,-0.0235619449,3.1308547881,-0.0066472501,-0.009771185,-1.4656777382
0.125154594,-0.0255254403,-0.0471238898,3.1224178937,-0.0112491924,0.0140614491,2.1092174053
0.150171575,-0.0314159265,-0.0235619449,3.1162819706,-0.0081812309,0.0231528543,3.4729280472
0.175179442,-0.0412334036,-0.0392699082,3.1143644946,-0.0025566346,0.0334482789,5.0172419548
0.200240486,-0.0471238898,-0.0235619449,3.115131485,0.0010226539,0.0344163477,5.1624522209
0.225244654,-0.0490873852,-0.0078539816,3.120883913,0.0076699039,0.0264772065,3.9715809822
0.250179863,-0.0490873852,0.0,3.1297043025,0.0117605194,0.0153549537,2.3032431602
0.275100643,-0.0471238898,0.0078539816,3.1412091584,0.0153398079,0.0011012666,0.1651899815
0.300223148,-0.043196899,0.0157079633,-3.1308547881,0.0148284809,-0.0130867595,-1.9630138874
0.325198044,-0.0412334036,0.0078539816,-3.1181994466,0.0168737887,-0.0256749839,-3.8512475491
0.350097314,-0.0412334036,0.0,-3.1109130378,0.0097152117,-0.0276066475,-4.140996933
0.375200808,-0.0412334036,0.0,-3.1101460474,0.0010226539,-0.0218770262,-3.2815539837
0.400195497,-0.043196899,-0.0078539816,-3.1120635234,-0.0025566346,-0.0133842966,-2.0076444149
0.425196227,-0.0490873852,-0.0235619449,-3.1193499322,-0.0097152117,0.0050656628,0.7598494291
0.450210239,-0.053014376,-0.0157079633,-3.1308547881,-0.0153398079,0.0227613598,3.4142038822
0.47512227,-0.0608683577,-0.0314159265,3.1373742064,-0.0199417502,0.045857124,6.8785686493
0.500125448,-0.0608683577,0.0,3.1247188649,-0.0168737887,0.051558163,7.7337245941
0.52520441,-0.0589048623,0.0078539816,3.1205004178,-0.0056245962,0.0453086868,6.7963027954
0.550164619,-0.0549778714,0.0157079633,3.1201169226,-0.0005113269,0.0357779302,5.366689682
0.575099827,-0.043196899,0.0471238898,3.1258693505,0.0076699039,0.0109937936,1.6490690708
0.600184674,-0.0314159265,0.0471238898,3.138524692,0.0168737887,-0.0177765787,-2.6664867401
0.625187853,-0.0157079633,0.0628318531,-3.1335392545,0.0148284809,-0.044640705,-6.696105957
0.650210772,-0.0078539816,0.0314159265,-3.1251023601,0.0112491924,-0.0562778339,-8.4416751862
0.675092437,0.0,0.0314159265,-3.1235683793,0.0020453077,-0.0591879599,-8.8781938553
0.700219941,0.0019634954,0.0078539816,-3.1262528457,-0.0035792885,-0.0520898588,-7.8134789467
0.725185202,-0.0019634954,-0.0157079633,-3.1350732352,-0.0117605194,-0.0329564959,-4.9434742928
0.750198694,-0.009817477,-0.0314159265,3.1327722641,-0.0204530772,-0.0051410943,-0.7711641788
0.775207393,-0.0215984495,-0.0471238898,3.1139809994,-0.0250550195,0.0270123258,4.0518488884
0.800117184,-0.0294524311,-0.0314159265,3.0974907059,-0.021987058,0.0452202857,6.7830429077
0.825167395,-0.0392699082,-0.0392699082,3.0867528404,-0.014317154,0.0594659634,8.9198942184
0.850182814,-0.0412334036,-0.0078539816,3.0844518692,-0.0030679616,0.0512943976,7.6941595078
0.875107657,-0.0373064128,0.0157079633,3.093655754,0.0122718463,0.0276073329,4.1410999298
0.900171931,-0.0333794219,0.0157079633,3.1078450763,0.0189190964,0.0064244494,0.9636673927
0.925225736,-0.0215984495,0.0471238898,3.1308547881,0.0306796158,-0.0327147096,-4.9072065353
0.950306833,-0.0137444679,0.0314159265,-3.1277868265,0.0327249235,-0.0633603483,-9.5040521622
0.975206884,-0.0078539816,0.0235619449,-3.1105295426,0.0230097118,-0.0787450969,-11.8117647171
1.000134852,-0.0078539816,0.0,-3.0982576963,0.0163624617,-0.0813665837,-12.2049875259
1.025371109,-0.0176714587,-0.0392699082,-3.0990246867,-0.0010226539,-0.0564360172,-8.4654026031
1.050367621,-0.0294524311,-0.0471238898,-3.1135975042,-0.0194304233,-0.015830759,-2.3746137619
1.07522564,-0.053014376,-0.0942477796,-3.13468974,-0.0281229811,0.0385394283,5.7809143066
1.100220954,-0.0706858347,-0.0706858347,3.120883913,-0.0368155389,0.083342135,12.5013198853
1.125227987,-0.0903207888,-0.0785398163,3.0994081819,-0.028634308,0.1182617694,17.7392654419
1.150234343,-0.096211275,-0.0235619449,3.0925052684,-0.0092038847,0.1115200967,16.7280139923
1.175117362,-0.0942477796,0.0078539816,3.0959567252,0.0046019424,0.089805007,13.4707508087
1.200244971,-0.0844303026,0.0392699082,3.1143644946,0.0245436926,0.0493670218,7.4050531387
1.225194347,-0.0608683577,0.0942477796,-3.1412091584,0.0368155389,-0.011732406,-1.7598608732
1.250169452,-0.043196899,0.0706858347,-3.1070780859,0.0455080967,-0.0627025664,-9.4053850174
1.275117681,-0.0176714587,0.1021017612,-3.0790829365,0.0373268658,-0.1108727008,-16.6309051514
1.300229248,-0.0058904862,0.0471238898,-3.064510119,0.0194304233,-0.1192412227,-17.886182785
1.325194353,-0.0019634954,0.0157079633,-3.062592643,0.0025566346,-0.1069983542,-16.0497531891
1.350172948,-0.0078539816,-0.0235619449,-3.0852188596,-0.0301682888,-0.0561397411,-8.42096138
1.375199043,-0.0255254403,-0.0706858347,-3.1185829418,-0.0444854428,0.0096441545,1.4466232061
1.400177534,-0.0412334036,-0.0628318531,3.1201169226,-0.0593139238,0.0677667409,10.1650114059
1.425193161,-0.0589048623,-0.0706858347,3.0810004125,-0.0521553468,0.1130411625,16.9561748505
1.450305249,-0.0667588439,-0.0314159265,3.0530052631,-0.0373268658,0.1260978281,18.9146747589
1.475198633,-0.0647953485,0.0078539816,3.0434178832,-0.0127831732,0.1071334183,16.0700130463
1.500202593,-0.053014376,0.0471238898,3.0556897295,0.0163624617,0.0612704642,9.1905698776
1.525186084,-0.0255254403,0.1099557429,3.0852188596,0.0393721736,-0.0113322381,-1.6998356581
1.550157543,-0.0039269908,0.086393798,3.1247188649,0.0526666737,-0.0730096549,-10.9514484406
1.575229682,0.0235619449,0.1099557429,-3.1185829418,0.0531780006,-0.1361382008,-20.4207305908
1.600173744,0.0353429174,0.0471238898,-3.0913547828,0.036304212,-0.1556530297,-23.3479537964
1.625219893,0.0373064128,0.0078539816,-3.0810004125,0.0138058271,-0.1442219615,-21.6332950592
1.650312293,0.0274889357,-0.0392699082,-3.0902042972,-0.0122718463,-0.1020333469,-15.3050022125
1.675134842,-0.0039269908,-0.1256637061,-3.1201169226,-0.0398835005,-0.0179493241,-2.6923985481
1.700170417,-0.0314159265,-0.1099557429,3.120883913,-0.0562459622,0.0584596433,8.7689466476
1.725235733,-0.0706858347,-0.1570796327,3.0794664317,-0.0552233084,0.1365539879,20.4830989838
1.750186983,-0.0922842842,-0.086393798,3.0495538063,-0.0398835005,0.1685387492,25.2808132172
1.775227246,-0.1079922475,-0.0628318531,3.041116912,-0.0112491924,0.171813339,25.7720012665
1.800171465,-0.1060287521,0.0078539816,3.0541557487,0.0173851156,0.1257247031,18.8587055206
1.82522027,-0.0844303026,0.086393798,3.0902042972,0.0480647314,0.0448928848,6.7339324951
1.850165895,-0.0628318531,0.086393798,-3.1389081872,0.072097097,-0.0377015322,-5.6552300453
1.875230794,-0.0294524311,0.1335176878,-3.0821508981,0.0756763855,-0.1265859902,-18.9878978729
1.900219962,-0.0117809725,0.0706858347,-3.0357479792,0.0618705584,-0.1696653813,-25.4498081207
1.925213818,0.0019634954,0.0549778714,-3.011971277,0.0317022696,-0.1726783216,-25.9017486572
1.950155589,-0.0019634954,-0.0157079633,-3.0131217626,-0.0015339808,-0.1283403784,-19.2510566711
1.975226581,-0.0235619449,-0.086393798,-3.0441848736,-0.0414174813,-0.0419769734,-6.2965459824
2.00022575,-0.0471238898,-0.0942477796,-3.0967237155,-0.0700517893,0.0489695482,7.3454322815
2.025221376,-0.086393798,-0.1570796327,3.1239518745,-0.0833462895,0.1435020864,21.5253124237
2.050210284,-0.1079922475,-0.086393798,3.066427595,-0.0766990394,0.190270558,28.5405845642
2.075115283,-0.1237002107,-0.0628318531,3.0292285609,-0.0495987121,0.2108108848,31.6216335297
2.100203464,-0.1197732199,0.0157079633,3.0150392386,-0.0189190964,0.1815270483,27.229057312
2.125220601,-0.0922842842,0.1099557429,3.033447008,0.0245436926,0.1043146849,15.6472024918
2.150183675,-0.0608683577,0.1256637061,3.0810004125,0.0634045392,0.0094337668,1.4150650501
2.175228886,-0.0078539816,0.2120575041,-3.1396751776,0.0833462895,-0.1154568344,-17.3185253143
2.200299983,0.0274889357,0.1413716694,-3.0775489557,0.0828349625,-0.1965195686,-29.477935791
2.225203108,0.0647953485,0.149225651,-3.0349809888,0.0567572892,-0.2354819775,-35.3222961426
2.250193943,0.0765763209,0.0471238898,-3.0192576858,0.0209644041,-0.219539091,-32.9308624268
2.275103682,0.0667588439,-0.0392699082,-3.0307625417,-0.0153398079,-0.1601580381,-24.0237064362
2.300225405,0.043196899,-0.0942477796,-3.0794664317,-0.06493852,-0.0592578389,-8.8886756897
2.325215406,-0.0058904862,-0.1963495408,3.1323887689,-0.0951068088,0.0655868948,9.8380346298
2.350370047,-0.043196899,-0.149225651,3.0526217679,-0.1063560013,0.1589061469,23.8359222412
2.375121605,-0.0903207888,-0.1884955592,2.9901120508,-0.0833462895,0.2435820997,36.5373153687
2.400219474,-0.1079922475,-0.0706858347,2.9536800071,-0.0485760583,0.2540306151,38.1045913696
2.425193329,-0.1099557429,-0.0078539816,2.9552139879,0.0020453077,0.2229468226,33.442024231
2.450354429,-0.0922842842,0.0706858347,3.0000829259,0.0598252507,0.1231565624,18.4734840393
2.475319534,-0.0412334036,0.2042035225,3.0740974989,0.0986860974,-0.0284109265,-4.2616391182
2.500201616,0.0,0.1649336143,-3.109379057,0.1329450016,-0.1695141047,-25.427116394
2.525194013,0.0569413668,0.2277654674,-3.0207916665,0.1181165207,-0.2613761425,-39.2064208984
2.550514596,0.0824668072,0.1021017612,-2.9567479686,0.0853915972,-0.2932240963,-43.9836158752
2.575229226,0.0903207888,0.0314159265,-2.9337382568,0.0306796158,-0.2580284774,-38.7042732239
2.600212144,0.0746128255,-0.0628318531,-2.9567479686,-0.0306796158,-0.1688574553,-25.3286190033
2.62516855,0.0235619449,-0.2042035225,-3.019641181,-0.0838576164,-0.0526721925,-7.9008288383
2.650230168,-0.0215984495,-0.1806415776,-3.1166654658,-0.1293657131,0.0886074156,13.2911119461
2.675228764,-0.0942477796,-0.2905973205,3.0641266238,-0.1365242901,0.2470454574,37.0568199158
2.700210119,-0.1354811832,-0.1649336143,2.9724712717,-0.1222071361,0.3063650727,45.9547615051
2.725223975,-0.1668971097,-0.1256637061,2.9233838865,-0.0654498469,0.3398831487,50.9824714661
2.750160382,-0.1668971097,0.0,2.9176314586,-0.0076699039,0.3042950928,45.6442642212
2.775234604,-0.1276272016,0.1570796327,2.9636508822,0.0613592315,0.1700380296,25.5057048798
2.800178094,-0.0824668072,0.1806415776,3.0541557487,0.1206731553,0.0152698234,2.2904734612
2.825198148,0.0,0.3298672286,-3.1147479898,0.1523754249,-0.1342938393,-20.1440753937
2.850173566,0.053014376,0.2120575041,-3.0046848683,0.1467508287,-0.27195099,-40.7926483154
2.875112368,0.1158462291,0.2513274123,-2.9222334009,0.1099352898,-0.3372895718,-50.5934371948
2.900126485,0.1374446786,0.086393798,-2.8808159196,0.0552233084,-0.3329918683,-49.9487800598
2.925165914,0.1335176878,-0.0157079633,-2.8950052419,-0.0189190964,-0.2461586744,-36.9238014221
2.950181073,0.1060287521,-0.1099557429,-2.963267387,-0.0910161934,-0.1202899814,-18.0434970856
2.975096489,0.0392699082,-0.2670353756,-3.0687285662,-0.1406149056,0.0331800506,4.9770073891
3.000197795,-0.0117809725,-0.2042035225,3.0802334221,-0.1789644253,0.1797983348,26.9697494507
3.025219985,-0.0844303026,-0.2905973205,2.9586654446,-0.1620906366,0.2967161238,44.5074195862
3.050384314,-0.1197732199,-0.1413716694,2.8666265974,-0.122718463,0.3359116614,50.3867492676
3.075229103,-0.1354811832,-0.0628318531,2.8275100873,-0.0521553468,0.3531371057,52.9705657959
3.100365098,-0.1217367153,0.0549778714,2.8463013519,0.0250550195,0.282428652,42.3642959595
3.125183689,-0.0608683577,0.2434734307,2.9245343721,0.1043106936,0.1208307892,18.1246185303
