timestamp_s,arm_pos_rad,arm_actual_vel_rad_s,pendulum_pos_rad,pendulum_vel_rad_s,action_cmd
1e-05,0.0,0.0,-0.9978,0.0,-0.0818
0.02509,0.0,0.0,-0.9978,0.0,-0.1203
0.05009,-0.0036,-0.4516,-0.9961,0.0072,-0.1174
0.07508,-0.0108,-0.9035,-0.9921,0.0169,-0.1047
0.10008,-0.0209,-1.2761,-0.9854,0.0281,-0.0936
0.12514,-0.0339,-1.6261,-0.9771,0.0348,-0.082
0.15013,-0.0495,-1.9639,-0.9674,0.0404,-0.0612
0.17508,-0.0667,-2.1646,-0.9609,0.0271,-0.0209
0.20009,-0.0847,-2.2574,-0.9556,0.0225,0.0141
0.22511,-0.1022,-2.1967,-0.9551,0.002,0.0564
0.25019,-0.118,-1.9775,-0.9594,-0.0179,0.1007
0.27509,-0.1308,-1.6164,-0.9681,-0.0368,0.1532
0.3001,-0.1391,-1.0403,-0.9862,-0.0757,0.2184
0.32509,-0.1408,-0.216,0.9902,-0.0987,0.2332
0.35018,-0.1356,0.6456,0.9626,-0.1156,0.2529
0.37509,-0.1228,1.6156,0.9318,-0.1294,0.2729
0.40009,-0.1019,2.6314,0.9005,-0.1309,0.2705
0.42509,-0.073,3.6333,0.87,-0.1278,0.2663
0.45012,-0.0359,4.647,0.8438,-0.1099,0.2652
0.4751,0.0039,5.0118,0.8263,-0.0731,0.2785
0.50008,0.0436,4.9908,0.8207,-0.0235,0.3005
0.52509,0.0834,5.0053,0.8289,0.0343,0.2909
0.55009,0.1231,4.9857,0.8513,0.0941,0.2416
0.57509,0.163,5.0072,0.8887,0.1565,0.1559
0.60009,0.2028,5.0082,0.9403,0.2163,0.0217
0.62513,0.2425,4.9781,-0.9897,0.293,-0.0679
0.65009,0.2803,4.7599,-0.9059,0.3513,-0.1803
0.67509,0.3127,4.0649,-0.827,0.3303,-0.4992
0.70009,0.3302,2.1991,-0.7671,0.2511,-0.8019
0.72509,0.3237,-0.805,-0.7365,0.1283,-0.9702
