timestamp_s,arm_pos_rad,arm_actual_vel_rad_s,pendulum_pos_rad,pendulum_vel_rad_s,action_cmd,acceleration_cmd_rad_s2
1e-05,0.0,0.0,-3.1389,-0.0005,-0.0746,-11.1902
0.02509,0.0,0.0,-3.1385,0.0005,-0.1107,-16.6053
0.05009,0.0,0.0,-3.1385,0.0,-0.1263,-18.9472
0.07515,0.0,0.0,-3.1397,-0.0015,-0.1325,-19.8781
0.10012,0.0,0.0,-3.1385,0.0015,-0.1371,-20.5636
0.12507,-0.0118,-0.4721,-3.1347,0.0051,-0.1,-15.0014
0.15008,-0.0295,-0.7067,-3.1163,0.0245,-0.0601,-9.0167
0.17508,-0.0628,-1.3349,-3.0921,0.0322,0.0398,5.9625
0.20008,-0.0903,-1.0997,-3.068,0.0322,0.0893,13.391
0.22508,-0.1217,-1.2568,-3.0542,0.0184,0.1735,26.0231
0.25007,-0.1335,-0.4713,-3.0607,-0.0087,0.1625,24.3784
0.27508,-0.1296,0.157,-3.0856,-0.0332,0.1189,17.8291
0.30008,-0.1178,0.4712,-3.1293,-0.0583,0.0948,14.216
0.32514,-0.0884,1.1756,3.094,-0.0798,0.0572,8.5751
0.35008,-0.0609,1.102,3.0315,-0.0833,-0.0129,-1.9423
0.37508,-0.0177,1.7279,2.9775,-0.0721,-0.1447,-21.6986
0.40008,0.0039,0.8638,2.9429,-0.046,-0.2938,-44.0722
0.42509,0.0137,0.3926,2.9433,0.0005,-0.38,-57.0072
0.45009,-0.0039,-0.7069,2.9859,0.0568,-0.3564,-53.461
0.47509,-0.0707,-2.67,3.0825,0.1289,-0.0644,-9.6536
0.50008,-0.1374,-2.6716,-3.0676,0.1774,0.1263,18.9424
0.52507,-0.2356,-3.9275,-2.9345,0.1774,0.3614,54.2149
0.55008,-0.2827,-1.8847,-2.8386,0.1278,0.4185,62.7715
0.57509,-0.3083,-1.0205,-2.8014,0.0496,0.4786,71.7856
0.60009,-0.2926,0.6284,-2.8329,-0.0419,0.4145,62.1819
0.62507,-0.2179,2.9864,-2.9414,-0.1447,0.4085,61.2715
0.65008,-0.1355,3.2976,-3.1086,-0.2229,0.4639,69.5801
0.67515,0.0118,5.8751,2.9778,-0.2623,0.583,87.4449
0.70014,0.11,3.9273,2.798,-0.2398,0.4922,73.8242
0.72508,0.2572,5.9048,2.6453,-0.2035,0.3798,56.9637
0.75008,0.3554,3.9279,2.5341,-0.1483,-0.0864,-12.9528
0.77508,0.5027,5.8898,2.4705,-0.0849,-0.4521,-67.8142
0.80011,0.5851,3.2954,2.4674,-0.0041,-0.9332,-139.9862
0.82517,0.6244,1.5667,2.5702,0.137,-1.0,-150.0
0.85008,0.5792,-1.8127,2.7857,0.2874,-0.9484,-142.2529
0.87509,0.4359,-5.7314,3.1182,0.4433,-0.8163,-122.4494
0.90011,0.3377,-3.9248,-2.8218,0.4576,-0.6026,-90.3952
0.92516,0.1905,-5.8781,-2.5008,0.428,-0.3659,-54.8787
0.95009,0.0923,-3.9384,-2.2423,0.3446,-0.0392,-5.8748
0.97516,-0.055,-5.8728,-2.0498,0.2567,0.1416,21.2414
1.00015,-0.1532,-3.9282,-1.934,0.1544,0.327,49.0445
1.02509,-0.2749,-4.8817,-1.906,0.0373,0.3615,54.2267
1.05016,-0.3279,-2.1146,-1.9846,-0.1048,0.643,96.4466
1.0751,-0.3534,-1.0234,-2.1629,-0.2378,0.7111,106.6586
1.10026,-0.322,1.2487,-2.454,-0.3881,0.6375,95.6216
1.12509,-0.1983,4.9832,-2.8528,-0.5318,1.0,150.0
1.1501,-0.1001,3.9253,2.9748,-0.6075,1.0,150.0
1.1751,0.0471,5.8891,2.538,-0.5824,1.0,150.0
1.20017,0.1453,3.9171,2.1537,-0.5123,1.0,150.0
1.22516,0.2926,5.891,1.8408,-0.4172,1.0,150.0
1.25008,0.3907,3.9396,1.6157,-0.3001,1.0,150.0
1.27516,0.538,5.8722,1.4853,-0.1739,1.0,150.0
1.30025,0.6362,3.9135,1.4565,-0.0383,1.0,150.0
1.32513,0.7834,5.918,1.5255,0.092,1.0,150.0
1.3501,0.8816,3.9322,1.6916,0.2214,0.5542,83.1313
1.37513,1.0289,5.8827,1.9508,0.3457,0.0139,2.0793
1.40014,1.127,3.9253,2.2998,0.4653,-0.7985,-119.7808
1.42522,1.2743,5.8727,2.6967,0.5292,-0.6108,-91.6238
1.45008,1.3332,2.3693,-3.1278,0.6115,-0.5322,-79.8228
1.4751,1.3332,0.0,-2.5867,0.7215,-0.7598,-113.9687
1.5001,1.2822,-2.0421,-2.0552,0.7087,-0.9678,-145.1637
1.52508,1.1408,-5.6579,-1.5662,0.6519,-1.0,-150.0
1.55008,1.0426,-3.9275,-1.1674,0.5318,-1.0,-150.0
1.57508,0.8954,-5.8907,-0.8659,0.4019,-1.0,-150.0
1.60008,0.7972,-3.9266,-0.6481,0.2904,-1.0,-150.0
1.62517,0.6499,-5.8699,-0.4974,0.201,-1.0,-150.0
1.65009,0.5517,-3.9393,-0.3996,0.1304,-1.0,-150.0
1.67509,0.4045,-5.8912,-0.3451,0.0726,-1.0,-150.0
1.70015,0.3063,-3.9177,-0.3298,0.0205,-1.0,-150.0
1.72514,0.159,-5.8911,-0.3494,-0.0261,-1.0,-150.0
1.75009,0.0609,-3.9358,-0.4084,-0.0787,-0.8779,-131.6815
1.77522,-0.0864,-5.8605,-0.5097,-0.135,-0.7228,-108.4176
1.80015,-0.1846,-3.937,-0.6585,-0.1984,-0.2782,-41.7238
1.82515,-0.3318,-5.8905,-0.8751,-0.2889,-0.0079,-1.1851
1.85008,-0.43,-3.9381,-1.1677,-0.3901,0.424,63.6059
1.8751,-0.5773,-5.8859,-1.5558,-0.5175,0.6399,95.9797
1.90017,-0.644,-2.6626,-2.0475,-0.6555,0.8252,123.7772
1.92519,-0.648,-0.157,-2.6565,-0.812,1.0,150.0
1.95018,-0.5871,2.4356,2.9172,-0.946,1.0,150.0
1.97509,-0.4398,5.9133,2.176,-0.9884,1.0,150.0
2.00009,-0.3416,3.9258,1.4899,-0.9148,1.0,150.0
2.02516,-0.1944,5.8746,0.8951,-0.7931,1.0,150.0
2.05012,-0.0962,3.9338,0.3804,-0.6862,1.0,150.0
2.07509,0.0511,5.8983,-0.0924,-0.6305,1.0,150.0
2.1001,0.1492,3.9253,-0.5611,-0.6248,1.0,150.0
2.1251,0.2965,5.8894,-1.0918,-0.7077,1.0,150.0
2.1501,0.3947,3.9273,-1.7131,-0.8283,1.0,150.0
2.17508,0.5419,5.8954,-2.4087,-0.9275,1.0,150.0
2.2001,0.6401,3.9236,3.119,-1.0,1.0,150.0
2.22509,0.7874,5.8928,2.3811,-0.9838,1.0,150.0
2.2501,0.8855,3.9248,1.6962,-0.9132,1.0,150.0
2.27516,1.0328,5.8774,1.0903,-0.8079,1.0,150.0
2.3001,1.131,3.9369,0.5837,-0.6755,1.0,150.0
2.32517,1.2782,5.8743,0.1377,-0.5947,1.0,150.0
2.3501,1.3764,3.9372,-0.2888,-0.5686,1.0,150.0
2.37512,1.5237,5.8855,-0.7424,-0.6049,1.0,150.0
2.4001,1.6218,3.9309,-1.269,-0.7021,1.0,150.0
2.42513,1.7691,5.8816,-1.8845,-0.8207,0.8174,122.6133
2.45008,1.8673,3.9356,-2.5771,-0.9235,0.2298,34.463
2.47707,2.0145,5.4569,2.9123,-1.0,-0.3161,-47.4142
2.50011,2.1127,4.2597,2.2737,-0.8514,-0.9169,-137.5338
2.52516,2.1677,2.1948,1.6391,-0.8462,-1.0,-150.0
2.55009,2.097,-2.8352,1.1114,-0.7036,-1.0,-150.0
2.57509,1.9498,-5.8915,0.647,-0.6192,-1.0,-150.0
2.6001,1.8516,-3.925,0.2493,-0.5302,-1.0,-150.0
2.62511,1.7043,-5.8884,-0.1231,-0.4965,-1.0,-150.0
2.6502,1.6061,-3.9138,-0.4974,-0.4991,-1.0,-150.0
2.67519,1.4589,-5.8925,-0.9192,-0.5625,-1.0,-150.0
2.70009,1.3607,-3.9424,-1.4216,-0.6698,-1.0,-150.0
2.72509,1.2134,-5.8894,-2.0229,-0.8018,-1.0,-150.0
2.75011,1.1153,-3.925,-2.699,-0.9015,-1.0,-150.0
2.7751,0.968,-5.8923,2.8785,-0.9408,-1.0,-150.0
2.80015,0.8698,-3.9195,2.2009,-0.9035,-1.0,-150.0
2.8251,0.7226,-5.9015,1.5823,-0.8248,-1.0,-150.0
2.85011,0.6244,-3.9258,1.0673,-0.6867,-0.9373,-140.5902
2.87516,0.4771,-5.8778,0.6378,-0.5727,-0.7907,-118.5976
2.90009,0.379,-3.9389,0.2746,-0.4842,-0.3513,-52.7024
2.92508,0.2317,-5.8913,-0.0583,-0.4438,-0.6246,-93.6857
2.95009,0.1335,-3.9263,-0.3935,-0.4469,-0.5766,-86.4916
2.97508,-0.0137,-5.892,-0.7635,-0.4934,-0.5012,-75.1824
3.00015,-0.1119,-3.9165,-1.2099,-0.5952,0.0578,8.6726
3.02515,-0.2592,-5.8909,-1.7507,-0.721,0.5132,76.9725
3.05008,-0.3574,-3.9373,-2.3696,-0.8253,0.6854,102.8119
3.07508,-0.4182,-2.4344,-3.0975,-0.9705,0.7904,118.5643
3.10011,-0.3907,1.0984,2.385,-1.0,1.0,150.0
3.12524,-0.269,4.8444,1.5984,-1.0,1.0,150.0
3.15017,-0.1708,3.9373,0.8966,-0.9357,1.0,150.0
3.17508,-0.0236,5.9116,0.2811,-0.8207,1.0,150.0
3.20011,0.0746,3.9235,-0.2961,-0.7695,1.0,150.0
3.22522,0.2219,5.8646,-0.9024,-0.8084,1.0,150.0
3.25009,0.32,3.9475,-1.5781,-0.901,1.0,150.0
3.27509,0.4673,5.8901,-2.3497,-1.0,1.0,150.0
3.3001,0.5655,3.9258,3.1128,-1.0,1.0,150.0
3.32509,0.7127,5.8918,2.3109,-1.0,1.0,150.0
3.35019,0.8109,3.911,1.5539,-1.0,1.0,150.0
3.37515,0.9582,5.9011,0.8955,-0.8779,1.0,150.0
3.4001,1.0564,3.9346,0.3206,-0.7665,1.0,150.0
3.42508,1.2036,5.8945,-0.224,-0.7261,1.0,150.0
3.4501,1.3018,3.9246,-0.7789,-0.7399,1.0,150.0
3.47572,1.4491,5.747,-1.4293,-0.8672,1.0,150.0
3.50009,1.5472,4.0283,-2.1322,-0.9373,0.6626,99.3948
3.52516,1.6945,5.8743,-2.9226,-1.0,0.4054,60.8052
3.55009,1.7927,3.9385,2.5886,-1.0,-0.2941,-44.1193
3.57514,1.9399,5.879,1.8515,-0.9828,-0.1634,-24.5037
3.6001,2.0381,3.9324,1.1938,-0.8769,0.2351,35.2639
3.62513,2.1559,4.7071,0.6174,-0.7685,1.0,150.0
3.65009,2.1814,1.0226,0.0698,-0.7302,0.6958,104.3771
3.67508,2.1814,0.0,-0.5315,-0.8018,0.209,31.3458
3.70015,2.1814,0.0,-1.1885,-0.8759,-0.4159,-62.3853
3.72514,2.1814,0.0,-1.5048,-0.4218,-1.0,-150.0
3.75015,2.1814,0.0,-1.3595,0.1938,-1.0,-150.0
3.77509,2.099,-3.3059,-1.3139,0.0608,-1.0,-150.0
3.8001,2.0008,-3.9251,-1.3833,-0.0926,-1.0,-150.0
3.8252,1.8535,-5.8692,-1.5509,-0.2234,-1.0,-150.0
3.85024,1.7554,-3.9201,-1.8224,-0.362,-1.0,-150.0
3.87513,1.6081,-5.9166,-2.174,-0.4689,-1.0,-150.0
3.90014,1.5099,-3.925,-2.5928,-0.5584,-1.0,-150.0
3.92516,1.3627,-5.8854,-3.0614,-0.6248,-1.0,-150.0
3.95008,1.2645,-3.9395,2.7546,-0.6228,-1.0,-150.0
3.97509,1.1172,-5.8891,2.3244,-0.5737,-1.0,-150.0
4.00009,1.0191,-3.9266,1.9554,-0.4919,-1.0,-150.0
4.02508,0.8718,-5.8933,1.6667,-0.385,-1.0,-150.0
4.05008,0.7736,-3.9268,1.4745,-0.2562,-1.0,-150.0
4.07511,0.6264,-5.8841,1.3817,-0.1237,-1.0,-150.0
4.10013,0.5282,-3.9227,1.3886,0.0092,-1.0,-150.0
4.12514,0.3809,-5.8885,1.4929,0.1391,-1.0,-150.0
4.15008,0.2827,-3.9368,1.6939,0.2679,-1.0,-150.0
4.17508,0.1355,-5.8913,1.99,0.3947,-1.0,-150.0
4.20011,0.0373,-3.9214,2.3658,0.5011,-0.6379,-95.6893
4.22513,-0.11,-5.8878,2.7884,0.5635,-0.3486,-52.2963
4.2501,-0.2081,-3.9309,-3.0411,0.6049,-0.1806,-27.0927
4.27509,-0.3554,-5.8929,-2.5928,0.5977,0.0753,11.2878
4.30011,-0.4536,-3.9234,-2.189,0.5384,0.295,44.2528
4.3251,-0.6008,-5.8941,-1.858,0.4413,0.4847,72.7057
4.35015,-0.6833,-3.2924,-1.613,0.3267,0.7067,106.0001
4.37522,-0.7069,-0.9397,-1.4699,0.1907,1.0,150.0
4.4001,-0.6578,1.9728,-1.4189,0.068,1.0,150.0
4.42519,-0.5125,5.7918,-1.4511,-0.043,1.0,150.0
4.45012,-0.4143,3.9386,-1.5835,-0.1764,0.9409,141.1306
4.47509,-0.267,5.8961,-1.8078,-0.2991,0.8945,134.1822
4.50009,-0.1689,3.9277,-2.1211,-0.4178,0.6945,104.1685
4.52509,-0.0216,5.891,-2.5065,-0.5139,0.8988,134.8265
4.5504,0.0766,3.8782,-2.9521,-0.5942,1.0,150.0
4.57509,0.2238,5.9641,2.8981,-0.5773,1.0,150.0
4.60015,0.322,3.9186,2.4774,-0.5609,1.0,150.0
4.62508,0.4693,5.9067,2.1104,-0.4893,1.0,150.0
4.6501,0.5675,3.9237,1.8128,-0.3968,1.0,150.0
4.67518,0.7147,5.8719,1.6061,-0.2756,1.0,150.0
4.70022,0.8129,3.9202,1.4987,-0.1432,1.0,150.0
4.7252,0.9601,5.8949,1.4914,-0.0097,1.0,150.0
4.75009,1.0583,3.9447,1.58,0.1181,0.6313,94.6976
4.7751,1.2056,5.8888,1.7668,0.249,0.184,27.6026
4.80016,1.3038,3.9168,2.0452,0.3712,-0.818,-122.7016
4.82514,1.451,5.8961,2.3999,0.473,-0.8822,-132.3352
4.85009,1.4648,0.5509,2.857,0.6095,-1.0,-150.0
4.87508,1.3764,-3.5353,-2.8432,0.7772,-1.0,-150.0
4.90009,1.2782,-3.9254,-2.2059,0.8498,-1.0,-150.0
4.92516,1.131,-5.8742,-1.6352,0.7609,-1.0,-150.0
4.95009,1.0328,-3.9385,-1.1601,0.6335,-1.0,-150.0
4.97511,0.8855,-5.8853,-0.7758,0.5123,-1.0,-150.0
5.00009,0.7874,-3.9296,-0.4771,0.3983,-1.0,-150.0
5.02509,0.6401,-5.8916,-0.2243,0.337,-1.0,-150.0
5.0501,0.5419,-3.9248,0.0042,0.3048,-1.0,-150.0
5.07519,0.3947,-5.8697,0.2332,0.3053,-1.0,-150.0
5.10009,0.2965,-3.9433,0.4851,0.3359,-1.0,-150.0
5.1251,0.1492,-5.8881,0.7869,0.4024,-1.0,-150.0
5.15015,0.0511,-3.918,1.1643,0.5031,-1.0,-150.0
5.17515,-0.0962,-5.892,1.6314,0.6228,-0.851,-127.6443
5.20009,-0.1944,-3.9355,2.1821,0.7343,-0.4598,-68.9725
5.22508,-0.3416,-5.8928,2.7953,0.8176,-0.2531,-37.9717
5.25008,-0.4398,-3.9272,-2.8475,0.8539,-0.1536,-23.0445
5.27528,-0.5871,-5.8442,-2.2193,0.8376,0.0882,13.2279
5.30015,-0.6853,-3.947,-1.6732,0.7281,0.5085,76.2758
5.32516,-0.8325,-5.8892,-1.2126,0.6141,0.6143,92.1488
5.35008,-0.8777,-1.8119,-0.8379,0.4996,1.0,150.0
5.37512,-0.8463,1.2548,-0.4752,0.4837,1.0,150.0
5.40012,-0.7559,3.6131,-0.0744,0.5343,1.0,150.0
5.42514,-0.6087,5.8853,0.3563,0.5742,1.0,150.0
5.4501,-0.5105,3.9338,0.8149,0.6115,0.9099,136.4873
5.4751,-0.3632,5.8899,1.3453,0.7072,1.0,150.0
5.5001,-0.2651,3.9263,1.9708,0.834,0.7851,117.7613
5.52519,-0.1178,5.8698,2.6703,0.9327,0.6488,97.3241
5.55009,-0.0196,3.943,-2.885,0.9705,0.4975,74.6214
5.57508,0.1276,5.8918,-2.1675,0.9567,0.9968,149.5126
5.60008,0.2258,3.9272,-1.5309,0.8488,0.9325,139.8707
5.62516,0.3731,5.8713,-0.9852,0.7276,0.9852,147.7856
5.65009,0.4712,3.939,-0.5338,0.6018,0.5536,83.0392
5.67513,0.6185,5.8797,-0.1361,0.5302,0.4174,62.6125
5.70015,0.7167,3.9244,0.2493,0.5139,-0.2462,-36.9303
5.7251,0.8639,5.9027,0.6646,0.5538,0.2056,30.8365
5.75011,0.9621,3.9252,1.1374,0.6305,0.0605,9.0804
5.77521,1.1094,5.8675,1.7073,0.7598,0.2803,42.048
5.80028,1.2075,3.9162,2.3596,0.8698,-0.0097,-1.4587
5.82509,1.3548,5.9344,3.0542,0.926,0.1389,20.8361
5.8501,1.453,3.9257,-2.513,0.9546,0.0678,10.1714
5.87535,1.6002,5.8315,-1.835,0.904,0.4091,61.3579
5.90025,1.6984,3.9427,-1.2763,0.745,0.1526,22.8844
5.92509,1.8457,5.9296,-0.8092,0.6228,0.0678,10.174
5.95009,1.9439,3.9274,-0.4153,0.5251,-0.2338,-35.0754
5.97508,2.0911,5.893,-0.0652,0.4668,0.2854,42.8049
6.00009,2.1814,3.6111,0.2838,0.4653,0.3065,45.973
6.02521,2.1814,0.0,0.5607,0.3692,-0.6198,-92.975
6.05009,2.1716,-0.3946,0.8602,0.3993,-1.0,-150.0
6.07514,2.0715,-3.9964,1.1977,0.45,-1.0,-150.0
6.10008,1.9733,-3.9366,1.5927,0.5267,-1.0,-150.0
6.12519,1.8261,-5.8647,2.0851,0.6565,-1.0,-150.0
6.15012,1.7279,-3.9387,2.6423,0.743,-1.0,-150.0
6.17517,1.5806,-5.8776,-3.0473,0.7915,-1.0,-150.0
6.20009,1.4824,-3.9396,-2.4609,0.7818,-1.0,-150.0
6.22509,1.3352,-5.8911,-1.9286,0.7097,-1.0,-150.0
6.25017,1.237,-3.9145,-1.4745,0.6054,-1.0,-150.0
6.2751,1.0897,-5.906,-1.1213,0.4709,-1.0,-150.0
6.30009,0.9916,-3.9285,-0.864,0.3431,-1.0,-150.0
6.32509,0.8443,-5.892,-0.6895,0.2327,-1.0,-150.0
6.35009,0.7461,-3.9259,-0.5841,0.1406,-1.0,-150.0
6.37509,0.5989,-5.8906,-0.5384,0.0608,-1.0,-150.0
6.40015,0.5007,-3.9178,-0.553,-0.0194,-1.0,-150.0
6.42515,0.3534,-5.8911,-0.6224,-0.0926,-1.0,-150.0
6.45009,0.2553,-3.9359,-0.7528,-0.1739,-0.8648,-129.7236
6.47515,0.108,-5.8778,-0.9568,-0.272,-0.5758,-86.3668
6.50034,0.0098,-3.8978,-1.2467,-0.3866,-0.0353,-5.289
6.52527,-0.1374,-5.9053,-1.6306,-0.5118,0.3134,47.0077
6.55015,-0.2356,-3.9465,-2.0977,-0.6228,0.6129,91.9375
6.57509,-0.3456,-4.4091,-2.648,-0.7338,0.6555,98.332
6.6001,-0.3515,-0.2355,2.9521,-0.9107,0.921,138.144
6.62513,-0.2729,3.1384,2.2503,-0.9357,1.0,150.0
6.65018,-0.1748,3.9197,1.5608,-0.9194,1.0,150.0
6.67522,-0.0275,5.8805,0.9599,-0.8012,1.0,150.0
6.70016,0.0707,3.9357,0.4521,-0.677,1.0,150.0
6.72512,0.2179,5.9017,-0.0146,-0.6223,1.0,150.0
6.75014,0.3161,3.9224,-0.4744,-0.6131,1.0,150.0
6.77507,0.4634,5.907,-0.976,-0.6688,1.0,150.0
6.80009,0.5616,3.9251,-1.5604,-0.7793,1.0,150.0
6.82508,0.7088,5.8928,-2.2404,-0.9066,1.0,150.0
6.85008,0.807,3.9264,-2.9813,-0.9879,1.0,150.0
6.87515,0.9543,5.8748,2.5598,-0.9894,1.0,150.0
6.90014,1.0524,3.9288,1.8688,-0.9214,0.9171,137.563
6.92509,1.1997,5.9004,1.2533,-0.8207,1.0,150.0
6.95009,1.2979,3.9283,0.7329,-0.6939,1.0,150.0
6.9751,1.4451,5.8865,0.2688,-0.6187,1.0,150.0
7.00028,1.5433,3.8999,-0.143,-0.5492,1.0,150.0
7.02517,1.6906,5.915,-0.5691,-0.5681,1.0,150.0
7.0501,1.7887,3.9392,-1.0446,-0.634,1.0,150.0
7.0751,1.936,5.8902,-1.6134,-0.7583,0.971,145.6496
7.10011,2.0342,3.9245,-2.2822,-0.8918,0.2622,39.3371
7.12509,2.1814,5.8965,-2.9893,-0.9429,-0.3428,-51.4245
7.15008,2.1756,-0.2357,2.6526,-0.8549,-1.0,-150.0
7.17508,2.1009,-2.9836,2.1426,-0.6801,-1.0,-150.0
7.2001,2.0028,-3.925,1.7453,-0.5297,-1.0,-150.0
7.2252,1.8555,-5.8671,1.445,-0.4004,-1.0,-150.0
7.25012,1.7573,-3.9395,1.2471,-0.2638,-1.0,-150.0
7.27509,1.6101,-5.8967,1.1459,-0.135,-1.0,-150.0
7.3001,1.5119,-3.9257,1.1359,-0.0133,-1.0,-150.0
7.32509,1.3646,-5.8922,1.2237,0.1171,-1.0,-150.0
7.35018,1.2665,-3.913,1.407,0.2444,-1.0,-150.0
7.37509,1.1192,-5.913,1.6839,0.3692,-1.0,-150.0
7.4001,1.021,-3.9241,2.0567,0.497,-1.0,-150.0
7.42507,0.8738,-5.8974,2.4943,0.5834,-1.0,-150.0
7.45017,0.7756,-3.9119,2.9847,0.654,-1.0,-150.0
7.47509,0.6283,-5.9085,-2.798,0.6673,-1.0,-150.0
7.50009,0.5301,-3.9278,-2.3247,0.631,-0.7612,-114.186
7.52514,0.3829,-5.8788,-1.914,0.5476,-0.6657,-99.8612
7.55008,0.2847,-3.936,-1.5953,0.4249,-0.3679,-55.1898
7.57508,0.1374,-5.8916,-1.3629,0.3099,-0.2376,-35.6404
