time_s,pendulum_angle_unwrapped,pendulum_vel_rad_s
1.73051,-0.287238,-15.071361
1.74049,-0.42683,-13.959225
1.75089,-0.576777,-14.994662
1.76064,-0.684922,-10.814565
1.77061,-0.793835,-10.891264
1.78049,-0.90083,-10.699516
1.79051,-1.001306,-10.047574
1.80069,-1.082607,-8.130098
1.81076,-1.142432,-5.982525
1.82022,-1.19152,-4.908739
1.83009,-1.231403,624.330181
1.84013,-1.256714,-2.531068
1.85018,-1.267452,-1.073787
1.86018,-1.264,0.345146
1.87018,-1.243675,2.032525
1.88023,-1.208777,-624.828724
1.89022,-1.162757,4.601942
1.90053,-1.092961,6.979613
1.91047,-1.017796,7.516506
1.9203,-0.930743,8.705341
1.93028,-0.831034,9.970875
1.94027,-0.719053,11.19806
1.95029,-0.598636,12.041749
1.96029,-0.460961,13.767478
1.97055,-0.309864,15.109711
1.98051,-0.168354,14.150973
1.9905,-0.036816,13.153885
2.00021,0.098175,13.499031
2.01052,0.256175,15.800002
2.02042,0.403053,14.687866
2.0305,0.538044,13.499031
2.0405,0.66268,12.463594
2.0505,0.800738,13.805827
2.06049,0.880888,8.01505
2.07062,0.977913,9.702428
2.08031,1.048476,7.056312
2.09052,1.12134,7.286409
2.10051,1.181165,5.982525
2.11348,1.217214,3.604855
2.12067,1.232937,1.57233
2.1305,1.240607,0.76699
2.14047,1.234471,-0.613592
2.15051,1.208777,-2.569418
2.1605,1.177714,-3.106311
2.17042,1.130927,-4.678641
2.18052,1.065733,-6.519418
2.19025,0.992486,-7.324758
2.20022,0.903515,-8.897089
2.21052,0.794219,-10.929613
2.22064,0.685689,-10.852914
2.23047,0.577927,-10.776215
2.24046,0.438335,-13.959225
2.25049,0.313316,-12.501943
2.26049,0.16682,-14.649517
2.27039,0.029146,-13.767478
2.28049,-0.123869,-15.301458
2.29049,-0.255408,-13.153885
2.30047,-0.398452,-14.304371
2.31049,-0.52232,-12.386895
2.3204,-0.64082,-11.850002
2.33049,-0.746282,-10.546118
2.34023,-0.844456,-9.817477
2.35049,-0.938796,-9.433982
2.36066,-1.020864,-8.206797
2.37008,-1.076088,-5.522331
2.38012,-1.127859,-5.177185
2.39013,-1.164291,-3.643204
2.40014,-1.188452,-2.41602
2.41016,-1.197272,-0.882039
2.42008,-1.191136,0.613592
2.43012,-1.170811,2.032525
2.44011,-1.135529,3.528156
2.4502,-1.087209,4.832039
2.46023,-1.023165,6.40437
2.47026,-0.945699,7.746603
2.48023,-0.854044,9.165535
2.4903,-0.760854,9.318933
2.50029,-0.646956,11.389807
2.5103,-0.532675,11.428157
2.52022,-0.411107,12.156798
2.5303,-0.276117,13.499031
2.54021,-0.132689,14.34272
2.55039,0.002684,13.53738
2.56049,0.151097,14.841264
2.57039,0.276884,12.578642
2.58048,0.413024,13.614079
2.59048,0.541112,12.80874
2.6005,0.682621,14.150973
2.61049,0.76584,8.321846
2.62053,0.865165,9.932526
2.63049,0.951835,8.666991
2.64049,1.021248,6.941263
2.65052,1.087209,6.596117
2.66052,1.124024,3.681554
2.67033,1.151253,2.722816
2.68052,1.169277,1.802427
2.69052,1.171194,0.191748
2.7005,1.157389,-1.380583
2.71051,1.130544,-2.684466
2.72067,1.091427,-3.911651
2.73052,1.041189,-5.023787
2.74049,0.971777,-6.941263
2.75049,0.898529,-7.324758
2.7605,0.802272,-9.625729
2.77094,0.698728,-10.35437
2.78051,0.585981,-11.274759
2.79052,0.470932,-11.504856
2.80051,0.339393,-13.153885
2.81052,0.210539,-12.885439
2.82133,0.062126,-14.841264
2.83052,-0.058291,-12.041749
2.84062,-0.194049,-13.57573
2.85015,-0.31485,-12.080099
2.86049,-0.451374,-13.652429
2.87094,-0.578311,-12.693691
2.8805,-0.680704,-10.239322
2.89052,-0.780413,-9.970875
2.90051,-0.86785,-8.74369
2.9105,-0.944165,-7.631554
2.92112,-1.006291,-6.212622
2.93049,-1.055762,-4.947088
2.9404,-1.091811,-3.604855
2.95049,-1.118272,-2.646117
2.96052,-1.129777,-1.150486
2.97097,-1.124024,0.575243
2.98051,-1.105617,1.840777
2.99052,-1.074937,3.067962
3.00051,-1.027767,4.716991
3.01026,-0.976762,5.100486
3.0204,-0.89316,8.360195
3.03013,-0.825665,6.749515
3.04015,-0.734777,9.088836
3.05016,-0.632767,10.200972
3.06023,-0.519636,11.313108
3.07041,-0.398068,12.156798
3.08028,-0.27535,12.271846
3.0903,-0.144194,13.115536
3.10031,-0.016107,12.80874
3.11052,0.12617,14.227672
3.12065,0.259626,13.345633
3.13049,0.375058,11.543205
3.14049,0.508898,13.383982
3.15052,0.636986,12.80874
3.1605,0.723655,8.666991
3.17065,0.814544,9.088836
3.18031,0.888175,7.363108
3.1905,0.962956,7.478156
3.20032,1.014345,5.138836
3.21051,1.059981,4.563593
3.22066,1.089126,2.914563
3.23049,1.101782,1.265534
3.24047,1.104083,0.230097
3.25031,1.091811,-1.227185
3.26052,1.06535,-2.646117
3.27063,1.024699,-4.065049
3.28051,0.97216,-5.253884
3.29052,0.904282,-6.787865
3.30051,0.810325,-9.395632
3.31051,0.738228,-7.20971
3.32067,0.640053,-9.817477
3.33049,0.54533,-9.472331
3.3405,0.421078,-12.425244
3.35049,0.30833,-11.274759
3.36067,0.167204,-14.112623
3.3704,0.053689,-11.351458
3.38049,-0.079384,-13.307283
3.39049,-0.203252,-12.386895
3.40045,-0.333257,-13.000487
3.41049,-0.442553,-10.929613
3.42039,-0.555685,-11.313108
3.43049,-0.657694,-10.200972
3.44047,-0.750117,-9.242234
3.45049,-0.825665,-7.554855
3.46049,-0.903131,-7.746603
3.47067,-0.962573,-5.944176
3.48049,-1.00399,-4.141748
3.49049,-1.038888,-3.489806
3.50049,-1.056913,-1.802427
3.51048,-1.061515,-0.460194
3.52038,-1.055762,0.575243
3.53021,-1.035054,2.070874
3.54047,-0.997855,3.719903
3.55049,-0.953753,4.410195
3.56048,-0.888175,6.557768
3.57023,-0.823748,6.442719
3.58049,-0.737845,8.590292
3.59049,-0.641971,9.58738
3.60047,-0.538044,10.39272
3.61064,-0.437185,10.085924
3.62042,-0.319451,11.773303
3.63027,-0.208621,11.083011
3.6401,-0.088587,12.0034
3.65013,0.04065,12.923788
3.6602,0.163369,12.271846
3.6703,0.289922,12.655342
3.68029,0.404587,11.466506
3.6903,0.516952,11.236409
3.70028,0.617044,10.009225
3.71021,0.720587,10.35437
3.72064,0.811476,9.088836
3.73052,0.877821,6.634467
3.7405,0.935345,5.752428
3.75048,0.977913,4.256797
3.7605,1.013578,3.566505
3.77065,1.033136,1.955826
3.78049,1.039655,0.651942
3.79052,1.031602,-0.80534
3.80051,1.012044,-1.955826
3.81052,0.980981,-3.106311
3.82065,0.93266,-4.832039
3.8305,0.873986,-5.867477
3.8405,0.806874,-6.711166
3.85016,0.737078,-6.979613
3.86029,0.643888,-9.318933
3.87057,0.538427,-10.546118
3.88052,0.431816,-10.661166
3.89049,0.316767,-11.504856
3.90049,0.200184,-11.658254
3.91035,0.088971,-11.121361
3.92038,-0.0395,-12.847089
3.93049,-0.15685,-11.734953
3.94047,-0.282252,-12.540293
3.95049,-0.392316,-11.006312
3.96049,-0.501228,-10.891264
3.97031,-0.590966,-8.973788
3.98049,-0.687607,-9.664079
3.99049,-0.765073,-7.746603
4.00049,-0.832952,-6.787865
4.01049,-0.891243,-5.829127
4.0204,-0.938029,-4.678641
4.03049,-0.97101,-3.298059
4.0405,-0.993636,-2.262622
4.05052,-0.998238,-0.460194
4.06049,-0.993253,0.498544
4.07035,-0.975995,1.725728
4.08031,-0.943782,3.22136
4.0905,-0.896228,4.75534
4.10032,-0.84484,5.138836
4.11052,-0.771976,7.286409
4.12079,-0.691058,8.091749
4.13051,-0.612825,7.823302
4.14048,-0.511199,10.162623
4.15032,-0.416092,9.510681
4.16044,-0.311398,10.469419
4.17016,-0.203252,10.814565
4.18013,-0.082451,12.080099
4.19029,0.033364,11.581555
4.20016,0.149947,11.658254
4.2107,0.268447,11.850002
4.22023,0.376592,10.814565
4.23016,0.479752,10.316021
4.24008,0.576393,9.664079
4.25015,0.666515,9.012137
4.26017,0.746282,7.9767
4.2702,0.815694,6.941263
4.28019,0.872835,5.714078
4.29015,0.918471,4.563593
4.30011,0.952602,3.413107
4.31011,0.973694,2.109224
4.32012,0.980597,0.690291
4.33013,0.974845,-0.575243
4.34028,0.956821,-1.802427
4.3503,0.925374,-3.144661
4.36029,0.881655,-4.371845
4.37035,0.825665,-5.59903
4.38029,0.760471,-6.519418
4.39031,0.681471,-7.900001
4.40051,0.589816,-9.165535
4.41052,0.494709,-9.510681
4.42066,0.388481,-10.622817
4.43051,0.285704,-10.277671
4.44049,0.170272,-11.543205
4.45051,0.030296,-13.997575
4.46048,-0.066728,-9.702428
4.47049,-0.172573,-10.584467
4.48051,-0.288388,-11.581555
4.49052,-0.394617,-10.622817
4.50032,-0.485888,-9.127186
4.51052,-0.586364,-10.047574
4.52067,-0.666515,-8.01505
4.53049,-0.735927,-6.941263
4.54047,-0.801888,-6.596117
4.55032,-0.85251,-5.062137
4.56052,-0.894694,-4.218447
4.57065,-0.923456,-2.876214
4.58051,-0.938796,-1.533981
4.59049,-0.943015,-0.421845
4.6005,-0.933044,0.997088
4.61052,-0.911185,2.185923
4.62064,-0.875136,3.604855
4.63052,-0.831418,4.371845
4.6405,-0.772743,5.867477
4.65032,-0.711767,6.097574
4.66051,-0.630083,8.168448
4.67063,-0.541495,8.858739
4.68052,-0.44984,9.165535
4.69022,-0.36317,8.666991
4.70022,-0.262311,10.085924
4.71052,-0.142277,12.0034
4.72066,-0.022626,11.96505
4.73051,0.087437,11.006312
4.74047,0.187529,10.009225
4.7505,0.319451,13.192235
4.7602,0.39385,7.439807
4.77032,0.497393,10.35437
4.78052,0.59135,9.395632
4.79051,0.672651,8.130098
4.80049,0.743981,7.133011
4.81054,0.79882,5.483981
4.82038,0.844073,4.525243
4.83011,0.880121,3.604855
4.84013,0.906583,2.646117
4.85013,0.921922,1.533981
4.8601,0.922306,0.03835
4.87027,0.910801,-1.150486
4.88028,0.887408,-2.339321
4.89029,0.85366,-3.374758
4.90023,0.808024,-4.563593
4.91054,0.747816,-6.020875
4.92083,0.676869,-7.094661
4.93028,0.60784,-6.902914
4.9403,0.515034,-9.280584
4.9505,0.396151,-11.888351
4.96049,0.309864,-8.628642
4.97064,0.204019,-10.584467
4.98052,0.097408,-10.661166
4.99052,-0.013039,-11.044662
5.00052,-0.134223,-12.118448
5.01032,-0.21284,-7.861652
5.02063,-0.325204,-11.236409
5.03051,-0.415709,-9.050487
5.04047,-0.506214,-9.050487
5.05049,-0.589432,-8.321846
5.06052,-0.666515,-7.708253
5.07064,-0.732476,-6.596117
5.08032,-0.781563,-4.908739
5.09048,-0.825282,-4.371845
5.10049,-0.858262,-3.298059
5.11048,-0.876287,-1.802427
5.12031,-0.884723,-0.843689
5.13049,-0.881655,0.306796
5.14047,-0.865549,1.61068
5.15049,-0.839471,2.607767
5.16049,-0.79767,4.180098
5.17038,-0.752801,4.486894
5.18049,-0.691058,6.174273
5.19049,-0.620112,7.094661
5.20049,-0.539194,8.091749
5.21049,-0.455592,8.360195
5.22031,-0.360869,9.472331
5.23049,-0.264995,9.58738
5.24047,-0.167587,9.740778
5.25049,-0.066345,10.124273
5.26049,0.049854,11.619904
5.27029,0.146495,9.664079
5.28049,0.25234,10.584467
5.29049,0.347447,9.510681
5.30049,0.443704,9.625729
5.31049,0.528456,8.475244
5.32038,0.610524,8.206797
5.3302,0.674185,6.36602
5.34046,0.737078,6.289321
5.35049,0.784631,4.75534
5.36051,0.826816,4.218447
5.37023,0.850209,2.339321
5.38048,0.864398,1.418932
5.39048,0.866316,0.191748
5.40048,0.859796,-0.651942
5.41048,0.837937,-2.185923
5.42014,0.808408,-2.952913
5.4303,0.765456,-4.295146
5.44011,0.715219,-5.023787
5.45015,0.650408,-6.481069
5.46015,0.577544,-7.286409
5.47018,0.497393,-8.01505
5.48019,0.400752,-9.664079
5.49022,0.315617,-8.513593
